scenario	language	family	rep	title	task_file
R1	go	huyang	1	bench after R1 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R1-go-huyang-r1-20260911-225230.md
R1	go	huyang	2	bench after R1 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R1-go-huyang-r2-20260911-225231.md
R1	go	huyang	3	bench after R1 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R1-go-huyang-r3-20260911-225232.md
R1	go	builtin	1	bench after R1 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R1-go-builtin-r1-20260911-225233.md
R1	go	builtin	2	bench after R1 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R1-go-builtin-r2-20260911-225234.md
R1	go	builtin	3	bench after R1 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R1-go-builtin-r3-20260911-225235.md
R1	go	bash	1	bench after R1 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R1-go-bash-r1-20260911-225236.md
R1	go	bash	2	bench after R1 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R1-go-bash-r2-20260911-225237.md
R1	go	bash	3	bench after R1 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R1-go-bash-r3-20260911-225238.md
R2	go	huyang	1	bench after R2 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R2-go-huyang-r1-20260911-225239.md
R2	go	huyang	2	bench after R2 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R2-go-huyang-r2-20260911-225240.md
R2	go	huyang	3	bench after R2 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R2-go-huyang-r3-20260911-225241.md
R2	go	builtin	1	bench after R2 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R2-go-builtin-r1-20260911-225242.md
R2	go	builtin	2	bench after R2 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R2-go-builtin-r2-20260911-225243.md
R2	go	builtin	3	bench after R2 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R2-go-builtin-r3-20260911-225244.md
R2	go	bash	1	bench after R2 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R2-go-bash-r1-20260911-225245.md
R2	go	bash	2	bench after R2 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R2-go-bash-r2-20260911-225246.md
R2	go	bash	3	bench after R2 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R2-go-bash-r3-20260911-225247.md
R3	go	huyang	1	bench after R3 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R3-go-huyang-r1-20260911-225248.md
R3	go	huyang	2	bench after R3 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R3-go-huyang-r2-20260911-225249.md
R3	go	huyang	3	bench after R3 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R3-go-huyang-r3-20260911-225250.md
R3	go	builtin	1	bench after R3 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R3-go-builtin-r1-20260911-225251.md
R3	go	builtin	2	bench after R3 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R3-go-builtin-r2-20260911-225252.md
R3	go	builtin	3	bench after R3 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R3-go-builtin-r3-20260911-225253.md
R3	go	bash	1	bench after R3 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R3-go-bash-r1-20260911-225254.md
R3	go	bash	2	bench after R3 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R3-go-bash-r2-20260911-225255.md
R3	go	bash	3	bench after R3 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R3-go-bash-r3-20260911-225256.md
R4	go	huyang	1	bench after R4 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R4-go-huyang-r1-20260911-225257.md
R4	go	huyang	2	bench after R4 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R4-go-huyang-r2-20260911-225258.md
R4	go	huyang	3	bench after R4 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R4-go-huyang-r3-20260911-225259.md
R4	go	builtin	1	bench after R4 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R4-go-builtin-r1-20260911-225300.md
R4	go	builtin	2	bench after R4 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R4-go-builtin-r2-20260911-225301.md
R4	go	builtin	3	bench after R4 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R4-go-builtin-r3-20260911-225302.md
